COUNTRY_NAME,COUNTRY,VENDOR_ID,BDR_ID,DELIVERY_CENTER_ID,SECTOR_ID,SEGMENT_BDR,TIME_LIMIT,AVAILABLE_TIME_DENOMINATOR,AVAILABLE_TIME_LIMIT_COUNTRY_NO_SEGMENT_BDR,IDEAL_TIME_LIMIT,IDEAL_TIME_LIMIT_NO_SEGMENT_BDR,MONTH_YEAR
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR120318,-,302,AUTOSERVICIOS,40,250,19,null,null,2023-06-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR117359,-,301,AUTOSERVICIOS,40,250,19,null,null,2023-06-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR136008010045,13600801,91,AUTOSERVICIOS,40,250,19,null,null,2023-06-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR109842,139,null,KT / CONJUNTA,15,250,19,null,null,2023-06-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR445625010008,44562501,802,KT / CONJUNTA,15,250,19,null,null,2023-06-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR445625010011,44562501,802,KT / CONJUNTA,15,250,19,null,null,2023-06-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR136008010012,1360080001,null,KT / CONJUNTA,15,250,19,null,null,2023-06-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR135901010079,13590101,91,KT / CONJUNTA,15,250,19,null,null,2023-06-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR136165010044,13616501,90,KT / CONJUNTA,15,250,19,null,null,2023-06-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR155205010004,1552050001,null,KT / CONJUNTA,15,250,19,null,null,2023-06-01
AR,AR,94eb514e-5382-4aa2-83a4-678d17e429f7,AR136928020072,13692802,107,KT / CONJUNTA,15,250,19,null,null,2023-06-01
